Unnamed: 0,UniqueID,Section_a,Section_b,Section_c,Section_de,Section_f,Section_g,Section_h,Section_t,Section_ij,y_TotalFactors
1561,4044,1,0,0,1,1,1,0,0,0,5.0
1562,4044,0,0,0,2,1,0,0,0,0,3.0
1575,4052,4,3,0,2,0,2,0,0,0,4.0
1576,4052,0,1,1,2,1,1,0,0,0,5.0
1577,4052,0,4,1,4,0,0,0,0,0,3.0
1629,4093,0,0,1,0,0,0,0,0,0,1.0
1630,4093,0,0,0,0,0,1,0,0,0,1.0
1631,4093,0,0,0,0,0,1,0,1,0,2.0
1645,4104,0,0,1,1,1,0,0,1,0,4.0
1646,4104,0,0,0,0,0,0,0,0,0,0.0
1647,4104,0,0,0,0,0,0,1,1,0,
1678,4128,1,1,3,2,1,1,3,1,2,9.0
1679,4128,0,0,1,2,0,0,1,1,1,5.0
1680,4128,0,0,2,1,0,0,0,1,0,4.0
1799,4218,0,4,0,0,0,0,0,0,0,1.0
1800,4218,0,1,0,0,0,1,0,0,0,2.0
1801,4218,0,0,0,0,0,1,0,0,0,1.0
1840,4246,2,0,2,1,1,0,1,1,1,7.0
1841,4246,0,0,0,1,0,0,2,1,0,3.0
1842,4246,2,0,1,1,1,1,2,3,0,
1923,4307,1,0,0,2,2,1,0,0,0,5.0
1924,4307,0,0,0,0,0,0,0,0,0,0.0
1925,4307,0,0,0,0,1,0,0,0,0,1.0
1930,4312,1,1,2,2,2,4,0,0,0,6.0
1931,4312,0,0,0,0,0,0,0,0,0,0.0
1932,4312,0,0,0,0,0,1,0,0,0,1.0
1947,4322,2,3,1,1,2,0,0,0,0,5.0
1948,4322,0,0,3,0,0,0,0,0,0,2.0
1949,4322,1,0,0,1,2,1,0,0,0,4.0
1952,4325,0,1,2,0,0,0,0,0,0,2.0
1953,4325,0,0,1,0,0,0,0,0,0,1.0
1954,4325,0,0,1,0,0,0,0,0,0,1.0
1991,4355,0,2,0,1,4,2,4,3,2,7.0
1992,4355,0,0,0,0,0,0,0,1,0,1.0
1993,4355,0,0,0,0,0,0,3,0,0,1.0
2046,4398,0,3,3,1,2,3,2,0,0,6.0
2047,4398,1,0,0,0,0,0,0,0,0,1.0
2048,4398,0,0,0,0,0,0,0,0,0,1.0
2050,4400,2,2,2,4,1,0,3,1,1,8.0
2051,4400,1,0,2,0,0,0,0,1,0,
2052,4400,2,4,4,0,1,0,1,1,0,
2074,4419,4,3,2,4,2,3,0,1,0,7.0
2075,4419,0,0,0,0,0,0,0,0,0,0.0
2076,4419,0,0,0,0,0,0,0,0,0,0.0
2098,4439,3,2,2,3,1,1,3,1,2,9.0
2099,4439,0,3,0,1,1,2,2,0,2,6.0
2100,4439,0,0,0,0,0,0,0,0,0,0.0
2120,4453,1,0,2,2,0,0,0,3,0,4.0
2121,4453,0,0,2,0,0,0,0,0,0,1.0
2122,4453,2,3,1,0,1,3,2,0,1,7.0
2123,4454,2,2,1,1,2,1,4,3,1,9.0
2124,4454,0,1,0,0,1,1,2,0,2,5.0
2125,4454,0,2,0,0,1,0,3,0,2,4.0
2170,4488,1,1,0,2,1,1,1,0,0,6.0
2171,4488,0,0,0,0,0,0,1,0,0,1.0
2172,4488,0,0,0,0,0,0,1,0,0,1.0
2200,4509,1,1,2,2,1,1,1,1,3,9.0
2201,4509,2,0,0,1,1,3,4,1,3,
2202,4509,0,0,0,0,0,0,0,1,0,2.0
2267,4563,0,3,3,1,2,4,1,1,0,8.0
2268,4563,0,1,0,0,0,1,1,0,0,3.0
2269,4563,0,0,0,0,0,0,0,0,0,1.0
2334,4613,0,1,0,1,0,0,0,0,0,2.0
2335,4613,0,0,0,0,0,0,0,0,0,0.0
2336,4613,0,0,0,0,0,0,0,0,0,0.0
2354,4628,4,0,0,3,2,4,4,3,0,7.0
2355,4628,1,2,0,1,1,0,3,1,1,
2356,4628,2,3,0,2,3,1,3,3,3,
2355,4628,1,2,0,1,1,0,3,1,1,
2356,4628,2,3,0,2,3,1,3,3,3,
2357,4628,1,0,0,1,3,2,4,1,0,
2362,4633,2,3,2,2,1,2,0,1,0,8.0
2363,4633,2,2,3,2,2,3,3,1,0,9.0
2364,4633,0,1,0,1,0,2,0,1,0,5.0
2387,4653,0,0,0,0,0,0,0,0,0,0.0
2388,4653,0,0,0,0,0,0,0,0,0,0.0
2389,4653,1,0,0,1,0,0,0,0,0,2.0
2403,4667,4,3,2,2,2,2,1,1,0,9.0
2404,4667,0,0,0,0,0,0,0,1,0,1.0
2405,4667,0,0,0,0,0,0,0,1,0,1.0
2407,4669,0,3,0,0,1,1,0,1,2,5.0
2408,4669,0,2,0,0,0,0,0,1,0,2.0
2409,4669,0,4,0,0,0,0,0,1,0,
2428,4684,3,4,0,1,1,2,0,0,0,5.0
2429,4684,2,2,2,1,0,0,0,0,0,4.0
2430,4684,0,0,1,0,0,1,0,0,0,2.0
2444,4698,0,0,0,0,0,0,0,0,0,0.0
2445,4698,0,0,0,1,0,0,0,0,0,1.0
2446,4698,0,0,0,0,0,0,0,1,0,1.0
2458,4709,0,0,2,2,1,3,4,3,0,6.0
2459,4709,0,0,1,2,1,1,4,3,0,
2460,4709,0,0,1,0,0,0,1,0,0,2.0
2511,4748,1,4,1,3,0,0,0,1,0,5.0
2512,4748,0,0,0,0,0,0,0,1,0,
2513,4748,0,0,1,0,0,0,0,0,0,1.0
2518,4752,4,4,0,0,2,2,1,3,1,7.0
2519,4752,2,0,0,0,2,1,3,3,3,
2520,4752,1,0,0,0,0,0,0,1,0,3.0
2521,4753,4,4,3,3,4,3,4,3,4,9.0
2522,4753,4,4,0,4,3,3,4,1,1,8.0
2523,4753,4,4,1,4,4,4,4,1,3,9.0
2543,4774,3,1,2,2,4,3,1,1,2,9.0
2544,4774,0,0,0,0,0,0,0,0,0,1.0
2545,4774,0,0,0,2,0,2,0,0,0,3.0
2633,4853,2,3,2,1,0,2,3,1,1,8.0
2634,4853,0,1,0,0,0,1,0,1,0,3.0
2635,4853,0,2,0,0,0,1,0,1,0,
2668,4881,0,0,0,0,0,0,3,1,0,2.0
2669,4881,4,3,0,2,1,3,2,1,0,7.0
2670,4881,0,0,1,0,0,2,0,0,0,2.0
2710,4916,1,3,2,2,0,0,4,0,0,5.0
2711,4916,0,0,0,0,0,0,0,0,0,0.0
2712,4916,0,0,0,0,0,0,0,0,0,0.0
2758,4956,4,4,3,4,2,4,4,1,4,9.0
2759,4956,0,0,1,0,0,0,0,0,0,1.0
2760,4956,0,0,1,1,0,0,2,3,0,4.0
2765,4960,3,3,2,1,2,0,3,0,0,7.0
2766,4960,0,0,4,0,0,1,0,0,0,
2767,4960,0,0,0,0,0,0,0,0,0,0.0
2813,4995,3,2,2,4,4,4,0,1,3,8.0
2814,4995,0,3,0,0,0,0,2,0,0,2.0
2815,4995,0,3,1,0,3,4,0,0,0,5.0
2814,4995,0,3,0,0,0,0,2,0,0,2.0
2815,4995,0,3,1,0,3,4,0,0,0,5.0
2816,4995,0,0,0,0,0,0,0,0,0,0.0
2823,5001,2,3,0,4,1,0,0,0,1,5.0
2824,5001,1,3,3,1,1,1,4,0,2,8.0
2825,5001,0,3,2,1,0,2,0,0,0,5.0
2824,5001,1,3,3,1,1,1,4,0,2,8.0
2825,5001,0,3,2,1,0,2,0,0,0,5.0
2826,5001,0,3,1,1,0,3,1,1,2,7.0
2940,5095,0,0,2,0,2,0,0,1,0,4.0
2941,5095,0,0,0,0,0,0,0,0,0,1.0
2942,5095,0,0,0,0,0,0,0,0,0,0.0
3056,5191,0,0,0,0,0,0,0,0,0,0.0
3057,5191,1,0,1,1,2,0,1,1,1,7.0
3058,5191,0,0,2,1,0,1,1,1,1,6.0
3096,5217,0,0,2,0,0,1,0,1,0,3.0
3097,5217,1,1,4,0,1,1,1,1,0,
3098,5217,0,0,3,0,0,0,0,1,0,2.0
3114,5231,1,0,1,0,0,0,0,1,1,4.0
3115,5231,0,0,0,0,0,3,0,0,0,1.0
3116,5231,0,0,0,0,4,0,0,0,0,1.0
3195,5293,0,2,0,0,2,0,0,0,0,2.0
3196,5293,0,1,0,0,0,0,0,0,0,1.0
3197,5293,0,0,0,0,0,0,0,0,0,0.0
3254,5340,0,0,1,3,0,0,4,1,3,5.0
3255,5340,0,0,3,4,0,2,0,3,0,
3256,5340,0,0,3,2,0,1,0,1,0,
3514,5556,3,2,3,1,3,1,3,1,0,8.0
3515,5556,0,0,0,0,0,4,0,3,0,
3516,5556,0,2,0,0,0,0,0,0,0,1.0
3515,5556,0,0,0,0,0,4,0,3,0,
3516,5556,0,2,0,0,0,0,0,0,0,1.0
3517,5556,0,0,0,0,0,1,0,0,0,1.0
3740,5749,0,0,0,0,1,0,0,0,0,1.0
3741,5749,0,0,0,0,0,1,0,0,0,1.0
3742,5749,0,0,0,1,1,0,0,1,0,
3818,5813,1,3,0,4,0,3,2,1,0,7.0
3819,5813,4,3,3,4,1,1,2,1,0,9.0
3820,5813,4,3,2,4,4,0,1,1,2,8.0
3840,5831,0,1,1,0,0,1,0,0,0,3.0
3841,5831,0,0,0,0,0,0,0,0,0,0.0
3842,5831,0,0,0,0,0,0,0,0,0,0.0
3977,5957,0,4,2,1,2,0,4,0,2,6.0
3978,5957,0,0,0,1,0,0,2,0,0,3.0
3979,5957,0,2,1,2,1,0,4,0,0,5.0
3997,5975,0,1,1,0,0,0,0,0,0,2.0
3998,5975,2,1,0,0,0,0,0,0,0,2.0
3999,5975,0,0,0,0,0,0,0,0,0,0.0
4097,6064,0,0,0,1,0,0,0,1,0,2.0
4098,6064,1,1,1,0,0,0,0,3,0,4.0
4099,6064,2,2,0,2,2,0,0,3,0,6.0
4154,6115,0,0,2,0,0,2,0,0,0,2.0
4155,6115,0,0,1,0,0,1,0,0,0,2.0
4156,6115,0,0,0,0,0,0,0,0,0,0.0
4167,6126,0,2,3,0,0,1,0,0,0,3.0
4168,6126,0,3,0,0,0,0,0,1,0,
4169,6126,0,0,0,0,0,0,1,0,0,1.0
4230,6183,4,1,3,2,0,1,1,1,0,7.0
4231,6183,0,0,0,2,2,1,2,0,0,4.0
4232,6183,0,0,0,0,0,1,0,3,0,2.0
4259,6209,0,0,0,0,0,0,0,0,0,0.0
4260,6209,0,0,1,0,0,0,0,0,0,1.0
4261,6209,0,0,2,0,0,1,0,0,0,2.0
4313,6254,0,1,0,0,0,0,0,3,0,2.0
4314,6254,2,0,1,1,1,0,0,0,0,5.0
4315,6254,3,2,0,2,1,1,0,0,0,5.0
4321,6260,0,0,0,0,0,0,0,0,0,0.0
4322,6260,0,0,0,0,0,0,0,0,0,0.0
4323,6260,0,0,0,0,0,0,0,0,0,0.0
4512,6425,0,3,0,1,0,0,0,0,0,2.0
4513,6425,0,1,1,4,1,0,0,0,0,4.0
4514,6425,0,0,1,0,0,0,0,0,0,1.0
4668,6564,0,2,2,0,0,0,0,0,0,2.0
4669,6564,0,0,2,0,0,0,0,0,0,1.0
4670,6564,0,0,2,0,0,0,0,1,0,2.0
4676,6570,1,0,0,3,0,1,0,1,1,5.0
4677,6570,0,3,1,4,2,0,0,1,1,6.0
4678,6570,1,3,0,2,2,0,0,0,0,5.0
4848,10336,4,4,2,1,2,0,0,1,0,7.0
4849,10336,0,0,1,0,0,0,0,0,0,1.0
4850,10336,2,1,0,0,0,0,0,1,0,3.0
4855,10358,4,1,1,2,1,0,4,1,2,8.0
4856,10358,0,0,0,1,0,0,0,0,0,1.0
4857,10358,0,0,0,0,0,0,0,0,0,0.0
4858,10367,4,4,2,2,3,4,4,1,4,9.0
4859,10367,0,0,0,3,0,2,1,3,0,
4860,10367,0,0,3,0,0,0,0,0,0,1.0
4874,10383,4,3,3,3,4,4,4,3,4,9.0
4875,10383,4,1,0,4,4,3,0,1,1,
4876,10383,4,2,1,4,3,2,4,1,2,
4884,10391,4,3,2,4,3,4,4,3,2,9.0
4885,10391,2,2,2,1,4,3,4,3,3,9.0
4886,10391,3,3,1,2,2,4,4,3,4,
4885,10391,2,2,2,1,4,3,4,3,3,9.0
4886,10391,3,3,1,2,2,4,4,3,4,
4887,10391,2,2,0,1,2,3,4,3,4,
4888,10392,1,4,0,2,0,1,0,0,0,4.0
4889,10392,0,4,1,0,2,1,0,0,0,4.0
4890,10392,0,0,1,2,0,0,0,0,0,2.0
4889,10392,0,4,1,0,2,1,0,0,0,4.0
4890,10392,0,0,1,2,0,0,0,0,0,2.0
4891,10392,0,2,0,1,0,0,0,0,0,2.0
4892,10393,1,2,3,1,1,2,4,3,1,9.0
4893,10393,0,1,0,1,1,3,3,1,0,7.0
4894,10393,0,1,0,1,1,3,2,3,1,7.0
4893,10393,0,1,0,1,1,3,3,1,0,7.0
4894,10393,0,1,0,1,1,3,2,3,1,7.0
4895,10393,0,1,2,1,1,3,3,0,0,7.0
4896,10394,1,0,1,1,2,0,0,0,1,5.0
4897,10394,1,1,1,0,1,0,1,0,0,5.0
4898,10394,0,1,0,0,1,0,1,0,1,4.0
4903,10397,3,3,3,2,1,2,0,0,0,6.0
4904,10397,0,2,0,2,0,1,0,0,0,3.0
4905,10397,0,0,0,0,0,0,0,0,0,0.0
4913,10405,0,2,1,1,1,1,1,0,1,7.0
4914,10405,0,0,0,0,0,1,0,0,0,1.0
4915,10405,0,1,0,0,0,0,0,0,0,1.0
4918,10407,0,0,3,0,0,0,2,0,1,3.0
4919,10407,0,0,1,0,0,0,0,0,0,1.0
4920,10407,0,0,2,0,0,0,0,0,0,1.0
4926,10411,2,4,2,2,3,2,4,0,4,8.0
4927,10411,0,0,0,0,0,0,0,0,0,0.0
4928,10411,0,0,0,0,0,0,0,1,0,1.0
4927,10411,0,0,0,0,0,0,0,0,0,0.0
4928,10411,0,0,0,0,0,0,0,1,0,1.0
4929,10411,0,0,2,0,0,1,0,3,0,4.0
4937,10418,2,1,1,1,1,0,1,1,1,8.0
4938,10418,0,0,0,0,0,0,0,1,1,
4939,10418,0,0,0,0,0,0,0,1,0,1.0
4954,10437,4,4,3,4,0,1,0,0,1,6.0
4955,10437,0,0,0,0,0,0,0,0,0,0.0
4956,10437,0,0,0,0,0,0,0,0,0,0.0
4961,10441,1,3,2,1,0,2,0,0,1,6.0
4962,10441,0,0,0,0,0,1,0,0,0,1.0
4963,10441,0,0,0,0,0,0,0,0,0,0.0
4964,10442,1,3,0,1,1,1,0,3,1,7.0
4965,10442,0,0,1,0,0,0,0,3,0,2.0
4966,10442,0,0,2,0,0,0,0,0,0,1.0
5075,10524,4,2,3,2,3,4,2,1,2,9.0
5076,10524,0,0,0,0,0,0,0,1,0,2.0
5077,10524,4,0,1,2,0,2,1,1,0,6.0
5086,10530,2,0,2,3,1,0,0,0,0,5.0
5087,10530,1,0,0,0,0,0,0,0,0,2.0
5088,10530,1,0,0,1,2,0,0,0,0,4.0
5157,10583,4,3,3,2,3,4,2,3,2,9.0
5158,10583,1,2,0,1,1,2,0,1,0,6.0
5159,10583,0,0,0,0,0,0,1,0,0,1.0
5162,10585,3,0,0,2,1,2,0,0,0,4.0
5163,10585,1,0,1,2,3,3,3,0,0,6.0
5164,10585,0,0,0,0,0,0,0,0,0,0.0
5166,10587,1,2,0,3,2,4,1,1,0,7.0
5167,10587,0,0,0,2,1,2,1,3,0,5.0
5168,10587,0,0,0,0,0,0,0,0,0,0.0
5170,10589,4,4,4,4,4,3,3,1,2,9.0
5171,10589,0,2,3,2,1,1,4,1,0,7.0
5172,10589,0,1,0,0,0,0,0,0,0,1.0
5181,10598,1,4,4,1,2,1,0,0,0,6.0
5182,10598,3,4,2,2,3,2,2,0,0,7.0
5183,10598,0,0,1,0,0,0,0,0,0,1.0
5186,10601,4,2,4,2,2,2,0,3,3,8.0
5187,10601,2,2,0,1,2,2,1,1,0,8.0
5188,10601,0,0,0,0,0,0,0,0,0,0.0
5189,10602,3,2,4,2,3,2,4,0,0,8.0
5190,10602,3,4,1,0,2,2,2,0,0,6.0
5191,10602,0,0,0,0,0,0,0,0,0,0.0
5207,10631,1,3,1,4,0,1,0,0,0,5.0
5208,10631,1,0,0,0,1,0,0,0,0,2.0
5209,10631,2,0,0,2,0,0,0,0,0,2.0
5218,10640,4,0,3,4,2,1,4,0,2,7.0
5219,10640,4,2,3,3,4,1,0,0,0,6.0
5220,10640,0,0,2,0,0,0,0,0,0,1.0
5221,10641,0,0,3,1,3,1,0,1,0,5.0
5222,10641,3,4,0,2,4,1,0,0,0,5.0
5223,10641,0,0,2,1,0,0,0,0,0,2.0
5225,10643,2,0,0,4,3,2,0,0,1,5.0
5226,10643,0,0,0,1,0,1,0,0,0,2.0
5227,10643,0,0,1,0,0,0,0,0,0,1.0
5247,10656,2,3,0,2,1,4,0,0,0,6.0
5248,10656,2,2,4,2,1,1,2,0,0,7.0
5249,10656,1,0,0,0,0,0,0,0,0,1.0
5264,10666,3,3,0,1,2,2,0,0,0,6.0
5265,10666,2,4,4,2,4,1,3,3,0,8.0
5266,10666,0,0,0,0,0,0,0,0,0,0.0
5341,10726,2,3,2,3,3,1,3,1,1,9.0
5342,10726,0,0,0,2,0,0,0,0,0,1.0
5343,10726,0,0,0,0,0,0,0,1,0,2.0
5344,10727,2,3,1,3,3,0,4,1,1,8.0
5345,10727,1,0,0,3,3,0,3,1,0,6.0
5346,10727,0,0,0,0,0,0,0,1,0,2.0
5347,10728,1,0,1,1,0,0,1,0,1,5.0
5348,10728,0,0,0,2,0,0,0,0,0,1.0
5349,10728,0,0,0,0,0,0,0,0,0,1.0
5350,10729,1,0,2,2,1,0,3,0,0,6.0
5351,10729,0,0,0,0,1,0,1,0,0,3.0
5352,10729,0,0,0,1,0,0,0,0,0,2.0
5353,10730,0,1,3,0,1,1,0,0,0,5.0
5354,10730,1,0,0,1,1,1,0,0,0,4.0
5355,10730,0,2,0,1,0,1,0,1,0,4.0
5402,10767,3,1,2,4,4,3,0,1,1,8.0
5403,10767,0,0,0,2,1,0,0,1,0,4.0
5404,10767,0,0,1,0,0,0,0,0,0,2.0
5408,10770,2,4,2,1,1,1,1,1,2,9.0
5409,10770,0,2,0,0,0,0,0,1,0,2.0
5410,10770,0,0,1,2,2,0,2,3,0,
5409,10770,0,2,0,0,0,0,0,1,0,2.0
5410,10770,0,0,1,2,2,0,2,3,0,
5411,10770,0,0,3,1,0,1,1,3,0,6.0
5414,10772,1,2,2,1,3,0,3,1,1,8.0
5415,10772,0,2,1,1,1,0,3,1,0,7.0
5416,10772,1,0,0,0,0,0,1,3,0,3.0
5417,10773,0,0,3,1,1,1,0,1,0,6.0
5418,10773,0,0,3,1,1,1,0,1,0,
5419,10773,0,1,0,0,0,1,0,1,0,
5420,10774,2,1,2,0,2,0,3,0,0,6.0
5421,10774,3,0,2,1,2,0,2,0,0,6.0
5422,10774,2,0,0,1,1,3,0,1,0,6.0
5424,10776,1,3,0,0,1,0,4,1,0,5.0
5425,10776,2,0,3,1,2,0,4,1,0,
5426,10776,0,0,0,0,0,0,0,1,4,2.0
5431,10779,3,2,2,1,1,1,0,1,0,7.0
5432,10779,0,0,3,0,0,0,0,0,0,1.0
5433,10779,0,0,2,2,0,0,0,0,0,3.0
5432,10779,0,0,3,0,0,0,0,0,0,1.0
5433,10779,0,0,2,2,0,0,0,0,0,3.0
5434,10779,0,0,0,0,0,0,1,1,0,2.0
5435,10780,1,0,0,1,2,0,1,0,0,4.0
5436,10780,0,0,0,1,0,0,0,1,0,2.0
5437,10780,1,0,0,2,1,0,0,0,0,3.0
5438,10781,1,0,1,1,1,0,1,0,0,5.0
5439,10781,0,0,1,0,1,0,0,0,0,2.0
5440,10781,0,0,0,0,0,0,0,0,0,0.0
5441,10782,2,0,0,3,4,2,0,0,0,5.0
5442,10782,0,0,0,0,0,0,0,0,0,1.0
5443,10782,0,0,0,0,0,0,0,0,0,0.0
5444,10783,2,0,2,3,4,0,0,0,0,5.0
5445,10783,0,0,0,0,0,0,0,0,0,0.0
5446,10783,0,0,0,0,0,0,0,0,0,0.0
5447,10784,2,0,3,2,2,2,0,3,0,7.0
5448,10784,1,0,2,2,1,0,0,3,0,
5449,10784,1,2,0,1,1,1,0,0,0,5.0
5450,10785,2,0,3,4,1,1,3,0,2,7.0
5451,10785,1,0,3,2,1,1,1,0,0,7.0
5452,10785,4,3,4,1,3,1,3,1,1,9.0
5453,10786,1,0,2,1,1,0,0,0,0,4.0
5454,10786,0,0,2,0,0,0,0,0,0,1.0
5455,10786,0,0,1,0,0,0,0,0,0,1.0
5456,10787,1,0,2,2,2,1,0,0,1,6.0
5457,10787,1,1,3,2,1,1,2,0,0,8.0
5458,10787,0,0,1,1,0,0,0,0,0,2.0
5473,10797,0,0,1,1,1,1,0,0,0,5.0
5474,10797,0,1,1,2,0,0,0,1,0,4.0
5475,10797,0,0,0,1,0,0,0,0,0,2.0
5480,10802,1,3,2,1,1,2,3,0,0,8.0
5481,10802,0,0,0,4,0,1,0,0,0,2.0
5482,10802,1,1,1,3,2,1,3,0,4,8.0
5483,10803,1,1,2,1,2,2,4,3,0,9.0
5484,10803,0,0,1,0,0,1,0,3,0,4.0
5485,10803,0,0,1,0,1,2,1,3,0,6.0
5484,10803,0,0,1,0,0,1,0,3,0,4.0
5485,10803,0,0,1,0,1,2,1,3,0,6.0
5486,10803,0,0,1,0,0,0,0,3,0,3.0
5487,10804,3,0,1,4,2,1,3,0,0,7.0
